Número Artículo,Cantidad Surtida,Cantidad Por Facturar,Id Docto Cargo,Folio Factura,Serie Factura,Tipo Documento,Estado Venta,Fecha,Descripción,Fecha Vencimiento,Usuario Alta,Observaciones,OCCliente,No. Docto. Venta
105FBC,1.0000,0.0000,3606957,,,Salidas en Vale,Devuelta,05/02/2026 11:54:22,GRASA LUBRICANTE P/INSTALAR METALES DE BIELA Y BANCADA LUBRIPLATE,25/02/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,04/02/2026  COTIZACION YONATAN COBOS,,4524
105FBC,1.0000,0.0000,3619828,3622221,110338ARLF,Salidas en Vale,Parcialmente Devuelta y Parcialmente Facturada,24/02/2026 21:28:07,GRASA LUBRICANTE P/INSTALAR METALES DE BIELA Y BANCADA LUBRIPLATE,16/03/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,04/02/2026  COTIZACION YONATAN COBOS,,4582
105FBC,1.0000,0.0000,3648409,,,Salidas en Vale,Devuelta,09/04/2026 13:22:37,GRASA LUBRICANTE P/INSTALAR METALES DE BIELA Y BANCADA LUBRIPLATE,30/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,08/04/2026 COTIZACION YONATAN COBOS,1,4691
105FBC,1.0000,0.0000,3662451,,,Salidas en Vale,Devuelta,29/04/2026 16:02:44,GRASA LUBRICANTE P/INSTALAR METALES DE BIELA Y BANCADA LUBRIPLATE,09/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,08/04/2026 COTIZACION YONATAN COBOS,4700419250,4756
105FBC,1.0000,0.0000,3663683,3663697,111896ARLF,Salidas en Vale,Facturada,30/04/2026 16:57:47,GRASA LUBRICANTE P/INSTALAR METALES DE BIELA Y BANCADA LUBRIPLATE,10/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,08/04/2026 COTIZACION YONATAN COBOS,4700419250,4764
105FBC,1.0000,0.0000,3663683,3663697,111896ARLF,Salidas en Vale,Facturada,30/04/2026 16:57:47,GRASA LUBRICANTE P/INSTALAR METALES DE BIELA Y BANCADA LUBRIPLATE,10/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,08/04/2026 COTIZACION YONATAN COBOS,4700419250,4764
11-715PDC,3.0000,0.0000,3611013,,,Salidas en Vale,Devuelta,11/02/2026 13:20:31,JGO. DE MANGUERA AZUL Y ROJA 15' P/FRENOS DEL REMOLQUE OP-11-315,21/02/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,10/02/2026  cotización Yonatan Cobos  PASAN A COBRO 2 CORES 4515CP,,4550
11-715PDC,1.0000,0.0000,3613040,,,Salidas en Vale,Devuelta,13/02/2026 18:06:49,JGO. DE MANGUERA AZUL Y ROJA 15' P/FRENOS DEL REMOLQUE OP-11-315,23/02/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,12/02/2025 COTIZACIÓN MARIO RICO - PASAN A COBRO 4 CORES DE ZAPATA 4707CP,,4558
11-715PDC,3.0000,0.0000,3617750,3622282,110349ARLF,Salidas en Vale,Parcialmente Devuelta y Parcialmente Facturada,20/02/2026 19:54:00,JGO. DE MANGUERA AZUL Y ROJA 15' P/FRENOS DEL REMOLQUE OP-11-315,02/03/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,10/02/2026  cotización Yonatan Cobos  PASAN A COBRO 2 CORES 4515CP,,4573
11-715PDC,1.0000,0.0000,3617759,3622290,110351ARLF,Salidas en Vale,Facturada,20/02/2026 21:41:27,JGO. DE MANGUERA AZUL Y ROJA 15' P/FRENOS DEL REMOLQUE OP-11-315,02/03/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,12/02/2026 COTIZACIÓN MARIO RICO - PASAN A COBRO 4 CORES DE ZAPATA 4707CP,,4575
11-715PDC,1.0000,0.0000,3617759,3622290,110351ARLF,Salidas en Vale,Facturada,20/02/2026 21:41:27,JGO. DE MANGUERA AZUL Y ROJA 15' P/FRENOS DEL REMOLQUE OP-11-315,02/03/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,12/02/2026 COTIZACIÓN MARIO RICO - PASAN A COBRO 4 CORES DE ZAPATA 4707CP,,4575
11-715PDC,1.0000,0.0000,3633748,,,Salidas en Vale,Devuelta,17/03/2026 21:56:43,JGO. DE MANGUERA AZUL Y ROJA 15' P/FRENOS DEL REMOLQUE OP-11-315,27/03/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,16/03/2026 COTIZACIÓN MARIO RICO,,4621
11-715PDC,1.0000,0.0000,3640675,3640736,111063ARLF,Salidas en Vale,Facturada,27/03/2026 10:38:38,JGO. DE MANGUERA AZUL Y ROJA 15' P/FRENOS DEL REMOLQUE OP-11-315,06/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,16/03/2026 COTIZACIÓN MARIO RICO,4700414927,4655
12-006PDC,2.0000,0.0000,3638058,,,Salidas en Vale,Devuelta,24/03/2026 11:24:29,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,24/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,,,4642
12-006PDC,6.0000,0.0000,3639550,,,Salidas en Vale,Devuelta,25/03/2026 18:10:52,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,04/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,24/03/2026 COTIZACION YONATAN COBOS,1,4644
12-006PDC,4.0000,0.0000,3640089,,,Salidas en Vale,Devuelta,26/03/2026 11:50:02,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,05/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,25/03/2026  COTIZACION YONATAN COBOS,1,4648
12-006PDC,5.0000,0.0000,3641218,,,Salidas en Vale,Devuelta,27/03/2026 14:59:20,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,06/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,26/03/2026  COTIZACIÓN  YONATAN COBOS,1,4659
12-006PDC,5.0000,0.0000,3642737,3644006,111177ARLF,Salidas en Vale,Facturada,30/03/2026 16:22:18,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,09/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,26/03/2026  COTIZACIÓN  YONATAN COBOS,4700416751,4673
12-006PDC,1.0000,0.0000,3643238,,,Salidas en Vale,Devuelta,31/03/2026 11:36:25,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,10/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,30/03/2026 COTIZACIÓN MARIO RICO,1,4675
12-006PDC,6.0000,0.0000,3643482,3644011,111179ARLF,Salidas en Vale,Facturada,31/03/2026 13:51:02,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,10/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,24/03/2026 COTIZACION YONATAN COBOS,4700416167,4676
12-006PDC,1.0000,0.0000,3644237,,,Salidas en Vale,Devuelta,01/04/2026 11:11:36,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,08/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,30/03/2026 COTIZACIÓN MARIO RICO,1,4680
12-006PDC,1.0000,0.0000,3644244,,,Salidas en Vale,Devuelta,01/04/2026 11:13:35,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,08/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,31/03/2026 COTIZACIÓN MARIO RICO - PASAN A COBRO 2 CORES DE ZAPATA 4707CP,1,4681
12-006PDC,2.0000,0.0000,3645072,,,Salidas en Vale,Devuelta,02/04/2026 12:33:40,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,19/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,01/04/2026 COTIZACIÓN MARIO RICO,1,4682
12-006PDC,2.0000,0.0000,3647765,,,Salidas en Vale,Devuelta,08/04/2026 16:33:17,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,18/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,07/04/2026 rescate a Apaseo el grande  jose guadalupe  p-185  Yonatan Cobos,1,4688
12-006PDC,2.0000,0.0000,3650026,,,Salidas en Vale,Devuelta,11/04/2026 12:10:46,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,24/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,10/04/2026 COTIZACIÓN MARIO RICO,1,4694
12-006PDC,2.0000,0.0000,3657961,,,Salidas en Vale,Devuelta,23/04/2026 10:28:53,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,03/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,01/04/2026 COTIZACIÓN MARIO RICO,1,4725
12-006PDC,2.0000,0.0000,3660714,,,Salidas en Vale,Devuelta,27/04/2026 22:54:55,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,07/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,23/03/2026 cotizacion yonatan cobos,01,4737
12-006PDC,2.0000,0.0000,3661604,3661656,111813ARLF,Salidas en Vale,Parcialmente Devuelta y Parcialmente Facturada,28/04/2026 17:22:27,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,08/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,10/04/2026 COTIZACIÓN MARIO RICO,4700419297,4744
12-006PDC,2.0000,0.0000,3661687,,,Salidas en Vale,Devuelta,28/04/2026 21:51:21,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,08/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,01/04/2026 COTIZACIÓN MARIO RICO,4700417762,4750
12-006PDC,2.0000,0.0000,3661869,3662161,111833ARLF,Salidas en Vale,Facturada,29/04/2026 10:50:35,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,09/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,01/04/2026 COTIZACIÓN MARIO RICO,4700417762,4753
12-006PDC,2.0000,0.0000,3662519,,,Salidas en Vale,Devuelta,29/04/2026 16:57:28,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,13/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,23/03/2026 cotizacion yonatan cobos,01,4760
12-006PDC,1.0000,0.0000,3667701,3667721,112049ARLF,Salidas en Vale,Facturada,07/05/2026 13:54:01,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,17/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,30/03/2026 COTIZACIÓN MARIO RICO,4700417204,4776
12-006PDC,1.0000,0.0000,3667811,,,Salidas en Vale,Devuelta,07/05/2026 15:13:44,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,17/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,31/03/2026 COTIZACIÓN MARIO RICO - PASAN A COBRO 2 CORES DE ZAPATA 4707CP,470417462,4777
12-006PDC,1.0000,0.0000,3667836,3667838,112058ARLF,Salidas en Vale,Facturada,07/05/2026 15:27:30,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,17/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,31/03/2026 COTIZACIÓN MARIO RICO - PASAN A COBRO 2 CORES DE ZAPATA 4707CP,4700417462,4778
12-006PDC,2.0000,0.0000,3671254,3671326,112208ARLF,Salidas en Vale,Facturada,12/05/2026 16:51:50,MANITA DE SERVICIO (AZUL) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,22/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,23/03/2026 cotizacion yonatan cobos,4700415905,4799
12-008PDC,6.0000,0.0000,3639550,,,Salidas en Vale,Devuelta,25/03/2026 18:10:52,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,04/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,24/03/2026 COTIZACION YONATAN COBOS,1,4644
12-008PDC,1.0000,0.0000,3640089,,,Salidas en Vale,Devuelta,26/03/2026 11:50:02,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,05/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,25/03/2026  COTIZACION YONATAN COBOS,1,4648
12-008PDC,5.0000,0.0000,3641218,,,Salidas en Vale,Devuelta,27/03/2026 14:59:20,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,06/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,26/03/2026  COTIZACIÓN  YONATAN COBOS,1,4659
12-008PDC,5.0000,0.0000,3642737,3644006,111177ARLF,Salidas en Vale,Facturada,30/03/2026 16:22:18,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,09/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,26/03/2026  COTIZACIÓN  YONATAN COBOS,4700416751,4673
12-008PDC,1.0000,0.0000,3643238,,,Salidas en Vale,Devuelta,31/03/2026 11:36:25,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,10/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,30/03/2026 COTIZACIÓN MARIO RICO,1,4675
12-008PDC,6.0000,0.0000,3643482,3644011,111179ARLF,Salidas en Vale,Facturada,31/03/2026 13:51:02,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,10/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,24/03/2026 COTIZACION YONATAN COBOS,4700416167,4676
12-008PDC,1.0000,0.0000,3644237,,,Salidas en Vale,Devuelta,01/04/2026 11:11:36,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,08/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,30/03/2026 COTIZACIÓN MARIO RICO,1,4680
12-008PDC,1.0000,0.0000,3644244,,,Salidas en Vale,Devuelta,01/04/2026 11:13:35,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,08/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,31/03/2026 COTIZACIÓN MARIO RICO - PASAN A COBRO 2 CORES DE ZAPATA 4707CP,1,4681
12-008PDC,2.0000,0.0000,3645072,,,Salidas en Vale,Devuelta,02/04/2026 12:33:40,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,19/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,01/04/2026 COTIZACIÓN MARIO RICO,1,4682
12-008PDC,2.0000,0.0000,3647765,,,Salidas en Vale,Devuelta,08/04/2026 16:33:17,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,18/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,07/04/2026 rescate a Apaseo el grande  jose guadalupe  p-185  Yonatan Cobos,1,4688
12-008PDC,2.0000,0.0000,3650026,,,Salidas en Vale,Devuelta,11/04/2026 12:10:46,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,24/04/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,10/04/2026 COTIZACIÓN MARIO RICO,1,4694
12-008PDC,2.0000,0.0000,3657961,,,Salidas en Vale,Devuelta,23/04/2026 10:28:53,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,03/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,01/04/2026 COTIZACIÓN MARIO RICO,1,4725
12-008PDC,2.0000,0.0000,3661604,3661656,111813ARLF,Salidas en Vale,Parcialmente Devuelta y Parcialmente Facturada,28/04/2026 17:22:27,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,08/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,10/04/2026 COTIZACIÓN MARIO RICO,4700419297,4744
12-008PDC,2.0000,0.0000,3661604,3661656,111813ARLF,Salidas en Vale,Parcialmente Devuelta y Parcialmente Facturada,28/04/2026 17:22:27,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,08/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,10/04/2026 COTIZACIÓN MARIO RICO,4700419297,4744
12-008PDC,2.0000,0.0000,3661687,,,Salidas en Vale,Devuelta,28/04/2026 21:51:21,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,08/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,01/04/2026 COTIZACIÓN MARIO RICO,4700417762,4750
12-008PDC,2.0000,0.0000,3661869,3662161,111833ARLF,Salidas en Vale,Facturada,29/04/2026 10:50:35,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,09/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,01/04/2026 COTIZACIÓN MARIO RICO,4700417762,4753
12-008PDC,2.0000,0.0000,3661869,3662161,111833ARLF,Salidas en Vale,Facturada,29/04/2026 10:50:35,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,09/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,01/04/2026 COTIZACIÓN MARIO RICO,4700417762,4753
12-008PDC,1.0000,0.0000,3667701,3667721,112049ARLF,Salidas en Vale,Facturada,07/05/2026 13:54:01,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,17/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,30/03/2026 COTIZACIÓN MARIO RICO,4700417204,4776
12-008PDC,1.0000,0.0000,3667811,,,Salidas en Vale,Devuelta,07/05/2026 15:13:44,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,17/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,31/03/2026 COTIZACIÓN MARIO RICO - PASAN A COBRO 2 CORES DE ZAPATA 4707CP,470417462,4777
12-008PDC,1.0000,0.0000,3667836,3667838,112058ARLF,Salidas en Vale,Facturada,07/05/2026 15:27:30,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,17/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,31/03/2026 COTIZACIÓN MARIO RICO - PASAN A COBRO 2 CORES DE ZAPATA 4707CP,4700417462,4778
12-008PDC,1.0000,0.0000,3667836,3667838,112058ARLF,Salidas en Vale,Facturada,07/05/2026 15:27:30,MANITA DE EMERGENCIA (ROJA) DE ACOPLE P/FRENOS DE AIRE DEL REMOLQUE,17/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,31/03/2026 COTIZACIÓN MARIO RICO - PASAN A COBRO 2 CORES DE ZAPATA 4707CP,4700417462,4778
127760DAN,1.0000,0.0000,3615710,3622330,110361ARLF,Salidas en Vale,Parcialmente Devuelta y Parcialmente Facturada,18/02/2026 13:49:10,"DISCO DE PARO 2"" P/CLUTCH VARIOS MODELOS T370-T600-T660-T800",28/02/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,17/02/2026 cotización Yonatan Cobos,,4567
129839CUM,1.0000,0.0000,3601717,,,Salidas en Vale,Devuelta,28/01/2026 11:08:27,"LAINA CUADRADA P/BOBINA DE PARO NH/NT,N14, M11, ISM ISX",07/02/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,27/01/2026 COTIZACIÓN MARIO RICO,,4507
